ymin	ymax	xmin	xmax	key	clickSelects	showSelected1	PANEL
5.81815244250876	8.32676913818879	0	9	9	9	McGill0002	2
8.32676913818879	8.35934322832471	0	9	8	8	McGill0002	2
8.35934322832471	8.85301763566558	0	9	6	6	McGill0002	2
8.85301763566558	9.11628462011672	0	9	5	5	McGill0002	2
9.11628462011672	10.765245529241	0	9	4	4	McGill0002	2
10.765245529241	12.2785516149955	0	9	2	2	McGill0002	2
12.2785516149955	12.8815570480393	0	9	1	1	McGill0002	2
12.8815570480393	13.8815570480393	0	9	0	0	McGill0002	2
5.81815244250876	7.48004849724583	0	9	9	9	McGill0091	2
7.48004849724583	7.92794380660996	0	9	8	8	McGill0091	2
7.92794380660996	8.21483916922859	0	9	7	7	McGill0091	2
8.21483916922859	8.3185305639025	0	9	6	6	McGill0091	2
8.3185305639025	8.35822969013013	0	9	5	5	McGill0091	2
8.35822969013013	9.11967607341862	0	9	2	2	McGill0091	2
9.11967607341862	11.5240324144373	0	9	1	1	McGill0091	2
11.5240324144373	13.8815570480393	0	9	0	0	McGill0091	2
5.81815244250876	6.88484664341119	0	9	9	9	McGill0322	2
6.88484664341119	7.05141457080121	0	9	8	8	McGill0322	2
7.05141457080121	7.16821207110614	0	9	7	7	McGill0322	2
7.16821207110614	7.18118593350995	0	9	6	6	McGill0322	2
7.18118593350995	7.24470631048094	0	9	5	5	McGill0322	2
7.24470631048094	7.46524561120404	0	9	4	4	McGill0322	2
7.46524561120404	7.68716132594694	0	9	2	2	McGill0322	2
7.68716132594694	10.8020398979861	0	9	1	1	McGill0322	2
10.8020398979861	13.8815570480393	0	9	0	0	McGill0322	2
5.81815244250876	6.81815244250876	0	9	9	9	McGill0004	2
6.81815244250876	6.88542715102899	0	9	8	8	McGill0004	2
6.88542715102899	7.00164754011628	0	9	7	7	McGill0004	2
7.00164754011628	7.20171988877584	0	9	6	6	McGill0004	2
7.20171988877584	7.20751927237447	0	9	5	5	McGill0004	2
7.20751927237447	8.1838554295841	0	9	4	4	McGill0004	2
8.1838554295841	8.27461530859456	0	9	3	3	McGill0004	2
8.27461530859456	9.77739123516269	0	9	2	2	McGill0004	2
9.77739123516269	9.8153097264266	0	9	1	1	McGill0004	2
9.8153097264266	13.8815570480393	0	9	0	0	McGill0004	2
