y	x	PANEL	row_in_group	na_group
22	118089.476	1	1	0
28.9959919850032	118089.552012024	1	2	0
61.9919839700063	118089.628024048	1	3	0
34.4234182643039	118089.704036072	1	4	0
44.3173012683789	118089.780048096	1	5	0
28.3466933866342	118089.85606012	1	6	0
21.9819639287889	118089.932072144	1	7	0
26.4579158350825	118090.008084168	1	8	0
24.6346025367578	118090.084096192	1	9	0
32.4564684927464	118090.160108216	1	10	0
26.1202404797077	118090.236120241	1	11	0
54.2645290493965	118090.312132265	1	12	0
46.71476286153	118090.388144289	1	13	0
35.9218436852098	118090.464156313	1	14	0
33.3326653301716	118090.540168337	1	15	0
33.2732130934795	118090.616180361	1	16	0
44.1282565097014	118090.692192385	1	17	0
32.9318637251854	118090.768204409	1	18	0
23.1082164347172	118090.844216433	1	19	0
35.1535571143031	118090.920228457	1	20	0
37.639946560065	118090.996240481	1	21	0
33.2491649985313	118091.072252505	1	22	0
38.3677354678512	118091.148264529	1	23	0
39.9308617226779	118091.224276553	1	24	0
37.3814295257131	118091.300288577	1	25	0
17.8141998286758	118091.376300601	1	26	0
18.137474951148	118091.452312625	1	27	0
27.1688376739621	118091.528324649	1	28	0
33.7525050118566	118091.604336673	1	29	0
31.478385342019	118091.680348697	1	30	0
25.1278557121754	118091.756360721	1	31	0
34.3284068144858	118091.832372746	1	32	0
38.0961923860014	118091.90838477	1	33	0
43.2064128220081	118091.984396794	1	34	0
50.2955911830068	118092.060408818	1	35	0
38.9671843703836	118092.136420842	1	36	0
37.7134268522263	118092.212432866	1	37	0
25.4816299279531	118092.28844489	1	38	0
37.3857715427876	118092.364456914	1	39	0
36.6937875747681	118092.440468938	1	40	0
26.9038076162338	118092.516480962	1	41	0
30.3732464946806	118092.592492986	1	42	0
27.7474949881434	118092.66850501	1	43	0
34.8276553104321	118092.744517034	1	44	0
50.9418837726116	118092.820529058	1	45	0
38.0273881057898	118092.896541082	1	46	0
34.7234468907118	118092.972553106	1	47	0
32.565130263567	118093.04856513	1	48	0
52.9809619237979	118093.124577154	1	49	0
68.196392784516	118093.200589178	1	50	0
36.1329325338205	118093.276601202	1	51	0
34.0876037797758	118093.352613226	1	52	0
40.3126252517104	118093.428625251	1	53	0
62.6372745484114	118093.504637275	1	54	0
59.3507014065981	118093.580649299	1	55	0
70.0160320848227	118093.656661323	1	56	0
65.3366733491421	118093.732673347	1	57	0
45.7975952029228	118093.808685371	1	58	0
91.8486973941326	118093.884697395	1	59	0
135.709418833256	118093.960709419	1	60	0
152.278557106853	118094.036721443	1	61	0
148.533066123724	118094.112733467	1	62	0
132.254509016871	118094.188745491	1	63	0
173.757515028119	118094.264757515	1	64	0
183.153640617927	118094.340769539	1	65	0
161.390781566501	118094.416781563	1	66	0
160.793587177992	118094.492793587	1	67	0
200.805611222982	118094.568805611	1	68	0
169.908817633986	118094.644817635	1	69	0
200.170340687037	118094.720829659	1	70	0
195.474949881434	118094.796841683	1	71	0
212.146292582154	118094.872853707	1	72	0
250.268537074328	118094.948865731	1	73	0
269.694388769567	118095.024877756	1	74	0
215.110220447183	118095.10088978	1	75	0
200.196392774582	118095.176901804	1	76	0
136.827655315399	118095.252913828	1	77	0
135.85170340538	118095.328925852	1	78	0
136.124248504639	118095.404937876	1	79	0
123.575150310993	118095.4809499	1	80	0
115.057114221156	118095.556961924	1	81	0
84.5130260512233	118095.632973948	1	82	0
46.6713426858187	118095.708985972	1	83	0
33.4989979937673	118095.784997996	1	84	0
39.3299933175246	118095.86101002	1	85	0
43.3406813641389	118095.937022044	1	86	0
54.6270723261617	118096.013034068	1	87	0
53.0460921823979	118096.089046092	1	88	0
65.0290581136942	118096.165058116	1	89	0
54.3099532375733	118096.24107014	1	90	0
34.5410821661353	118096.317082164	1	91	0
30.9058116227388	118096.393094188	1	92	0
28.1062124222517	118096.469106212	1	93	0
31.146960588793	118096.545118236	1	94	0
28.710086842378	118096.621130261	1	95	0
25.0794923173057	118096.697142285	1	96	0
28.845691382885	118096.773154309	1	97	0
40.4584168344736	118096.849166333	1	98	0
38.5350701212883	118096.925178357	1	99	0
28.8096192330122	118097.001190381	1	100	0
12.2567993125745	118097.077202405	1	101	0
8.77919475327839	118097.153214429	1	102	0
5.2512393209495	118097.229226453	1	103	0
8.34010878950357	118097.305238477	1	104	0
18.2505010068417	118097.381250501	1	105	0
23.3687374740839	118097.457262525	1	106	0
36.7254509031773	118097.533274549	1	107	0
32.1432865709066	118097.609286573	1	108	0
23.3830995336175	118097.685298597	1	109	0
39.1035404155652	118097.761310621	1	110	0
25.838677354157	118097.837322645	1	111	0
30.3807615233319	118097.913334669	1	112	0
26.7822311272224	118097.989346693	1	113	0
26.2565130233765	118098.065358717	1	114	0
25.3707414865494	118098.141370741	1	115	0
24.276553106308	118098.217382766	1	116	0
9.55791583061218	118098.29339479	1	117	0
9.32665330713446	118098.369406814	1	118	0
11.5418837681413	118098.445418838	1	119	0
27.5569138273597	118098.521430862	1	120	0
17.7214428856969	118098.597442886	1	121	0
18.2725450918078	118098.67345491	1	122	0
15.2334669306874	118098.749466934	1	123	0
12.5399131601055	118098.825478958	1	124	0
9.24549098312855	118098.901490982	1	125	0
25.8343353370826	118098.977503006	1	126	0
23.9030060112476	118099.05351503	1	127	0
32.2635270506144	118099.129527054	1	128	0
19.7304609194398	118099.205539078	1	129	0
6.07481629898151	118099.281551102	1	130	0
7.16196028414098	118099.357563126	1	131	0
10.2625250493487	118099.43357515	1	132	0
21.7064128220081	118099.509587174	1	133	0
24.8002671996752	118099.585599198	1	134	0
25.0444889783859	118099.661611222	1	135	0
25.2464929819107	118099.737623246	1	136	0
18.7187101461671	118099.813635271	1	137	0
25.1763527020812	118099.889647295	1	138	0
25.8681362718344	118099.965659319	1	139	0
32.6643286570907	118100.041671343	1	140	0
40.6583166345954	118100.117683367	1	141	0
38.9218436896801	118100.193695391	1	142	0
31.8617234428724	118100.269707415	1	143	0
13.5055565671487	118100.345719439	1	144	0
8.41790247162183	118100.421731463	1	145	0
20.2743486970663	118100.497743487	1	146	0
35.3511022031307	118100.573755511	1	147	0
23.4617807034935	118100.649767535	1	148	0
24.8220440879464	118100.725779559	1	149	0
13.9010521043092	118100.801791583	1	150	0
4.86606546491385	118100.877803607	1	151	0
7.95468715247181	118100.953815631	1	152	0
6.29802462032863	118101.029827655	1	153	0
3.24003562662337	118101.105839679	1	154	0
9.23146292567253	118101.181851703	1	155	0
20.9545758167903	118101.257863727	1	156	0
11.2248496979475	118101.333875752	1	157	0
6.69160543216599	118101.409887776	1	158	0
1.80668002665043	118101.4858998	1	159	0
5.57772688248328	118101.561911824	1	160	0
7.35871743659178	118101.637923848	1	161	0
9.37488770690458	118101.713935872	1	162	0
3.88309953278965	118101.789947896	1	163	0
10.7466599866748	118101.86595992	1	164	0
3.27527782862837	118101.941971944	1	165	0
6.14362057475817	118102.017983968	1	166	0
5.4979959949851	118102.093995992	1	167	0
7.62600200437009	118102.170008016	1	168	0
8.90200400799513	118102.24602004	1	169	0
8.78800458035299	118102.322032064	1	170	0
4.76211246059221	118102.398044088	1	171	0
3.73866251000652	118102.474056112	1	172	0
6.71104112977073	118102.550068136	1	173	0
1.20855997715678	118102.62608016	1	174	0
0.429078156352043	118102.702092184	1	175	0
0.429924784542678	118102.778104208	1	176	0
1.69817896673213	118102.854116232	1	177	0
8.21390148722812	118102.930128257	1	178	0
9.23246493004262	118103.006140281	1	179	0
7.93907815814018	118103.082152305	1	180	0
9.70978995053856	118103.158164329	1	181	0
4.08817635476589	118103.234176353	1	182	0
3.86162801796482	118103.310188377	1	183	0
4.38521487403799	118103.386200401	1	184	0
5.77337283284768	118103.462212425	1	185	0
7.24488978087902	118103.538224449	1	186	0
