y	yend	x	xend	key	showSelected1	showSelected2	PANEL
5.81815244250876	8.32676913818879	5.66988092298052	5.66988092298052	McGill0002 9	McGill0002	9	3
8.32676913818879	8.35934322832471	5.66988092298052	5.66988092298052	McGill0002 8	McGill0002	8	3
8.35934322832471	8.85301763566558	5.66988092298052	5.66988092298052	McGill0002 6	McGill0002	6	3
8.85301763566558	9.11628462011672	5.66988092298052	5.66988092298052	McGill0002 5	McGill0002	5	3
9.11628462011672	10.765245529241	5.66988092298052	5.66988092298052	McGill0002 4	McGill0002	4	3
10.765245529241	12.2785516149955	5.66988092298052	5.66988092298052	McGill0002 2	McGill0002	2	3
12.2785516149955	12.8815570480393	5.66988092298052	5.66988092298052	McGill0002 1	McGill0002	1	3
12.8815570480393	13.8815570480393	5.66988092298052	5.66988092298052	McGill0002 0	McGill0002	0	3
5.81815244250876	7.48004849724583	4.87519732320115	4.87519732320115	McGill0091 9	McGill0091	9	3
7.48004849724583	7.92794380660996	4.87519732320115	4.87519732320115	McGill0091 8	McGill0091	8	3
7.92794380660996	8.21483916922859	4.87519732320115	4.87519732320115	McGill0091 7	McGill0091	7	3
8.21483916922859	8.3185305639025	4.87519732320115	4.87519732320115	McGill0091 6	McGill0091	6	3
8.3185305639025	8.35822969013013	4.87519732320115	4.87519732320115	McGill0091 5	McGill0091	5	3
8.35822969013013	9.11967607341862	4.87519732320115	4.87519732320115	McGill0091 2	McGill0091	2	3
9.11967607341862	11.5240324144373	4.87519732320115	4.87519732320115	McGill0091 1	McGill0091	1	3
11.5240324144373	13.8815570480393	4.87519732320115	4.87519732320115	McGill0091 0	McGill0091	0	3
5.81815244250876	6.88484664341119	4.26267987704132	4.26267987704132	McGill0322 9	McGill0322	9	3
6.88484664341119	7.05141457080121	4.26267987704132	4.26267987704132	McGill0322 8	McGill0322	8	3
7.05141457080121	7.16821207110614	4.26267987704132	4.26267987704132	McGill0322 7	McGill0322	7	3
7.16821207110614	7.18118593350995	4.26267987704132	4.26267987704132	McGill0322 6	McGill0322	6	3
7.18118593350995	7.24470631048094	4.26267987704132	4.26267987704132	McGill0322 5	McGill0322	5	3
7.24470631048094	7.46524561120404	4.26267987704132	4.26267987704132	McGill0322 4	McGill0322	4	3
7.46524561120404	7.68716132594694	4.26267987704132	4.26267987704132	McGill0322 2	McGill0322	2	3
7.68716132594694	10.8020398979861	4.26267987704132	4.26267987704132	McGill0322 1	McGill0322	1	3
10.8020398979861	13.8815570480393	4.26267987704132	4.26267987704132	McGill0322 0	McGill0322	0	3
5.81815244250876	6.81815244250876	3.71357206670431	3.71357206670431	McGill0004 9	McGill0004	9	3
6.81815244250876	6.88542715102899	3.71357206670431	3.71357206670431	McGill0004 8	McGill0004	8	3
6.88542715102899	7.00164754011628	3.71357206670431	3.71357206670431	McGill0004 7	McGill0004	7	3
7.00164754011628	7.20171988877584	3.71357206670431	3.71357206670431	McGill0004 6	McGill0004	6	3
7.20171988877584	7.20751927237447	3.71357206670431	3.71357206670431	McGill0004 5	McGill0004	5	3
7.20751927237447	8.1838554295841	3.71357206670431	3.71357206670431	McGill0004 4	McGill0004	4	3
8.1838554295841	8.27461530859456	3.71357206670431	3.71357206670431	McGill0004 3	McGill0004	3	3
8.27461530859456	9.77739123516269	3.71357206670431	3.71357206670431	McGill0004 2	McGill0004	2	3
9.77739123516269	9.8153097264266	3.71357206670431	3.71357206670431	McGill0004 1	McGill0004	1	3
9.8153097264266	13.8815570480393	3.71357206670431	3.71357206670431	McGill0004 0	McGill0004	0	3
